City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,ketchikan,55.3422,-131.6461,-1.01,46,0,3.09,US,1709004801
218,horsham,51.064,-0.3272,3.87,77,13,3.72,GB,1709005057
219,nagqu,31.5,92.0,0.28,14,1,9.56,CN,1709005057
220,nicoya,10.1483,-85.452,24.5,73,0,4.56,CR,1709005058
221,uruacu,-14.5247,-49.1408,20.92,79,67,1.09,BR,1709004838
222,brookings,44.3114,-96.7984,10.06,66,0,1.54,US,1709005058
223,luderitz,-26.6481,15.1594,15.86,84,0,0.77,NA,1709005058
224,udachny,66.4167,112.4,-19.37,76,51,3.94,RU,1709005059
225,st. john's,47.5649,-52.7093,-3.25,93,75,4.63,CA,1709005059
226,hermanus,-34.4187,19.2345,17.11,76,0,8.36,ZA,1709005059
227,pangai,-19.8,-174.35,31.06,84,20,2.57,TO,1709005059
228,haiku-pauwela,20.9219,-156.3051,23.01,67,20,10.8,US,1709005060
229,juankoski,63.0667,28.35,0.14,98,100,0.86,FI,1709005060
230,lagos,6.5833,3.75,27.18,91,10,1.29,NG,1709004783
231,sitka,57.0531,-135.33,-2.06,40,0,6.69,US,1709004801
232,mar del plata,-38.0023,-57.5575,21.08,91,0,4.47,AR,1709005060
233,magadan,59.5667,150.8,-15.26,83,4,1.55,RU,1709005061
234,valdez,1.2492,-78.9831,26.13,82,90,0.29,EC,1709005061
235,tazacorte,28.629,-17.9293,18.97,78,100,8.05,ES,1709005061
236,masterton,-40.9597,175.6575,20.06,39,4,3.55,NZ,1709005061
237,tan-tan,28.438,-11.1032,15.74,76,100,12.1,MA,1709005061
238,bucerias,20.75,-105.3333,22.99,88,0,0.0,MX,1709005062
239,valparaiso,-33.0393,-71.6273,17.8,82,0,2.57,CL,1709004826
240,coquimbo,-29.9533,-71.3436,18.85,82,100,2.06,CL,1709004835
241,palikir - national government center,6.9248,158.1611,31.41,66,100,4.12,FM,1709005062
242,ola,59.5833,151.2833,-14.92,82,10,1.63,RU,1709005063
243,ust-nera,64.5667,143.2,-28.17,96,70,2.38,RU,1709005063
244,tucumcari,35.1717,-103.725,17.91,29,0,10.29,US,1709005063
245,faya-largeau,17.9257,19.1043,21.91,20,79,9.23,TD,1709005063
246,atafu village,-8.5421,-172.5159,28.53,78,100,7.91,TK,1709005063
247,tame,6.461,-71.73,26.39,53,97,1.7,CO,1709005064
248,sinabang,2.4803,96.3801,30.28,67,31,1.51,ID,1709005064
249,gadzhiyevo,69.2551,33.3362,-4.03,82,100,5.07,RU,1709005064
250,guerrero negro,27.9769,-114.0611,17.76,70,100,4.1,MX,1709005064
251,ellsworth,44.5434,-68.4195,2.02,89,0,0.89,US,1709005065
252,revda,56.801,59.9303,-8.55,73,100,4.84,RU,1709005065
253,hanover,52.3705,9.7332,4.43,92,100,2.57,DE,1709005065
254,college,64.8569,-147.8028,-11.82,47,20,1.54,US,1709005065
255,ensenada,31.8667,-116.6167,14.97,80,100,0.37,MX,1709004911
256,alesund,62.4723,6.1549,4.51,60,100,6.17,NO,1709005066
257,peace river,56.2501,-117.286,-19.83,77,100,1.54,CA,1709005066
258,kaa-khem,51.6833,94.7333,-19.77,94,100,1.26,RU,1709005066
259,ebaye,8.7748,167.7392,30.01,74,40,5.66,MH,1709005066
260,nar'yan-mar,67.6713,53.087,-1.05,94,100,7.6,RU,1709005067
261,khunti,23.0833,85.2833,19.06,43,99,0.68,IN,1709005067
262,azna,33.6095,48.9307,-1.32,82,100,1.42,IR,1709005067
263,nizhneudinsk,54.9076,99.0276,-13.12,82,100,0.99,RU,1709005067
264,kununurra,-15.7667,128.7333,35.99,52,29,2.06,AU,1709005067
265,kapa'a,22.0752,-159.319,23.99,73,100,9.26,US,1709005068
266,jutai,-5.1833,-68.9,21.83,98,99,0.53,BR,1709005068
267,luanda,-8.8368,13.2343,26.0,94,75,1.54,AO,1709005068
268,tanjung pinang,0.9167,104.45,25.02,68,88,6.77,ID,1709005068
269,al qaryatayn,34.2296,37.2407,6.55,52,33,1.9,SY,1709005068
270,nadym,65.5333,72.5167,-1.69,96,100,6.66,RU,1709005069
271,kita,13.0349,-9.4895,25.04,14,61,0.6,ML,1709005069
272,port douglas,-16.4833,145.4667,29.4,74,96,3.18,AU,1709005069
273,krasnoturansk,54.3186,91.5639,-18.35,97,98,0.53,RU,1709005070
274,tual,-5.6667,132.75,28.58,79,87,6.4,ID,1709005070
275,saint-francois,46.4154,3.9054,5.36,100,100,0.0,FR,1709005070
276,okhotsk,59.3833,143.3,-18.24,72,4,2.17,RU,1709005070
277,hadibu,12.65,54.0333,24.94,71,99,2.39,YE,1709005071
278,takoradi,4.8845,-1.7554,26.58,89,89,1.83,GH,1709005071
279,menzel kamel,35.6248,10.6673,13.69,62,20,2.57,TN,1709005071
280,enshi,30.3,109.4833,9.67,59,65,0.64,CN,1709005071
281,mancio lima,-7.6142,-72.8958,24.04,100,75,1.03,BR,1709005071
282,yerofey pavlovich,53.9667,121.9667,-14.4,61,100,2.83,RU,1709005072
283,haimen,23.1935,116.6142,14.94,68,100,5.04,CN,1709005072
284,pangody,65.85,74.4859,-3.2,98,100,6.46,RU,1709005072
285,uturoa,-16.7333,-151.4333,28.99,75,14,4.49,PF,1709005072
286,rio grande,-32.035,-52.0986,21.64,91,100,10.96,BR,1709005072
287,thompson,55.7435,-97.8558,-25.91,58,20,2.06,CA,1709005073
288,chimore,-16.9833,-65.1333,22.42,99,100,0.81,BO,1709005073
289,flat river,37.8501,-90.5168,17.59,82,0,7.2,US,1709005073
290,meadow lake,34.8014,-106.5436,13.72,49,94,7.5,US,1709005073
291,urengoy,65.9667,78.3667,-4.04,95,100,5.74,RU,1709005074
292,tetouan,35.5711,-5.3724,11.43,76,57,4.63,MA,1709005074
293,loches,47.1333,1.0,6.72,93,100,8.01,FR,1709005074
294,fortuna,40.5982,-124.1573,8.14,86,20,4.63,US,1709005074
295,enewetak,11.3474,162.3373,27.24,77,73,5.28,MH,1709005075
296,colesberg,-30.72,25.0972,7.36,80,0,3.67,ZA,1709005075
297,antsiranana,-12.2787,49.2917,24.42,94,75,2.06,MG,1709004834
298,island harbour,50.724,-1.2758,3.85,90,5,3.13,GB,1709005075
299,kem',64.9555,34.5793,-0.13,92,100,2.27,RU,1709005075
300,basco,20.4487,121.9702,22.63,78,96,8.05,PH,1709005076
301,laguna,38.421,-121.4238,14.86,74,0,6.17,US,1709005076
302,dryden,49.7833,-92.7503,-4.84,86,100,4.63,CA,1709005076
303,puerto baquerizo moreno,-0.9,-89.6,26.27,77,23,5.41,EC,1709005077
304,kasama,-10.2129,31.1808,15.79,95,100,1.18,ZM,1709005077
305,tubarjal,30.4999,38.216,10.53,51,53,5.59,SA,1709005077
306,igarka,67.4667,86.5833,-11.0,94,100,8.25,RU,1709005077
307,kerikeri,-35.2268,173.9474,22.73,81,94,2.7,NZ,1709005077
308,mount pearl,47.5166,-52.7813,-3.71,93,75,4.63,CA,1709004963
309,hilo,19.7297,-155.09,22.27,82,75,4.63,US,1709005078
310,port lincoln,-34.7333,135.8667,26.12,57,25,4.24,AU,1709005078
311,cefalu,38.0386,14.0229,12.77,74,100,1.34,IT,1709005079
312,juba,4.8517,31.5825,26.74,53,53,1.94,SS,1709005079
313,worcester,42.3334,-71.8328,4.47,85,0,1.54,US,1709004823
314,alofi,-19.0595,-169.9187,29.94,79,40,4.63,NU,1709005079
315,chibougamau,49.9168,-74.3659,-17.21,78,100,2.57,CA,1709005080
316,scarborough,54.2797,-0.4044,4.25,92,80,3.2,GB,1709005080
317,sola,-13.8833,167.55,31.37,74,100,3.09,VU,1709005080
318,culiacan,24.7994,-107.3897,20.82,73,40,2.57,MX,1709004671
319,sapanca,40.6914,30.2674,8.11,87,40,2.06,TR,1709005081
320,rice lake,45.5061,-91.7382,7.18,79,0,0.0,US,1709005081
321,selfoss,63.9331,-20.9971,2.8,75,100,10.62,IS,1709005086
322,harnai,30.1005,67.9374,10.85,66,76,0.59,PK,1709005087
323,lauro de freitas,-12.8944,-38.3272,28.01,78,75,5.66,BR,1709005087
324,hobyo,5.3505,48.5268,26.33,68,100,5.55,SO,1709005087
325,zelenogradsk,54.9589,20.4767,9.09,100,40,3.0,RU,1709005087
326,new norfolk,-42.7826,147.0587,21.72,28,25,1.54,AU,1709005088
327,san antonio de pale,-1.4014,5.6325,28.22,78,52,3.07,GQ,1709005088
328,yako,12.9667,-2.2667,25.98,23,15,2.35,BF,1709005088
329,tougan,13.0667,-3.0667,26.22,22,61,1.57,BF,1709005089
330,usinsk,65.9939,57.5281,0.04,97,100,8.49,RU,1709005089
331,barabinsk,55.3571,78.357,-16.61,95,100,3.27,RU,1709005089
332,kandahar,31.0,65.75,6.68,91,100,4.09,AF,1709005089
333,castillos,-34.1667,-53.8333,20.34,96,100,1.61,UY,1709005090
334,mareeba,-17.0,145.4333,30.27,66,96,2.97,AU,1709005090
335,uruzgan,32.8333,66.0,2.63,92,100,0.94,AF,1709005090
336,aioun,16.6614,-9.6149,23.5,8,49,4.16,MR,1709005090
337,porbandar,21.6422,69.6093,22.99,35,4,7.72,IN,1709005091
338,brownfield,33.1812,-102.2744,20.53,31,92,3.74,US,1709005091
339,qa'en,33.7265,59.1844,-4.92,95,99,1.47,IR,1709005091
340,turek,52.0155,18.5005,7.63,85,100,2.23,PL,1709005091
341,horta,38.5333,-28.6333,15.01,75,5,2.24,PT,1709005092
342,bernal,-5.45,-80.75,27.91,58,100,4.56,PE,1709005092
343,touros,-5.1989,-35.4608,25.4,89,61,2.53,BR,1709005092
344,kanker,20.2719,81.4931,28.28,49,56,1.21,IN,1709005093
345,pedernales,18.0384,-71.744,25.1,72,6,0.86,DO,1709005093
346,bereznik,62.8551,42.7072,-2.27,97,100,2.08,RU,1709005093
347,madison,34.7334,-86.5667,18.89,50,0,6.26,US,1709004681
348,woolgoolga,-30.1106,153.2007,28.36,62,26,4.01,AU,1709005094
349,nova vicosa,-17.8919,-39.3719,25.13,90,5,2.95,BR,1709005094
350,holualoa,19.6228,-155.9522,22.91,86,100,4.12,US,1709004860
351,aleksandrov gay,50.147,48.5704,-12.95,80,18,3.1,RU,1709005094
352,connell,46.6635,-118.8611,3.75,71,100,1.34,US,1709005095
353,dunedin,-45.8742,170.5036,17.67,77,56,2.24,NZ,1709005095
354,labrador city,52.9463,-66.9114,-10.05,87,75,5.66,CA,1709005095
355,santa cruz,-17.8,-63.1667,24.7,94,40,3.6,BO,1709005095
356,saldanha,-33.0117,17.9442,19.03,64,0,4.16,ZA,1709005095
357,pumiao,22.75,108.4833,8.22,76,100,1.86,CN,1709005096
358,sarkand,45.41,79.9186,-7.23,66,7,0.36,KZ,1709005096
359,puerto aysen,-45.4,-72.7,12.75,98,100,1.18,CL,1709005096
360,aripuana,-9.1667,-60.6333,22.38,98,97,0.48,BR,1709005097
361,gwarzo,11.9152,7.9346,21.86,14,7,3.23,NG,1709005097
362,portland,45.5234,-122.6762,3.51,91,51,3.13,US,1709004930
363,constantia,44.1833,28.65,5.39,91,100,4.13,RO,1709005097
